Surface,Court,ranking_diff,AvgW,AvgL,win
Clay,Outdoor,-9,2.46,1.52,0
Clay,Outdoor,-25,1.34,3.12,0
Clay,Outdoor,15,1.77,1.99,0
Clay,Outdoor,-80,1.36,3.02,1
Clay,Outdoor,31,2.63,1.46,0
Clay,Outdoor,-275,1.13,5.5,1
Clay,Outdoor,-21,2.65,1.45,0
Clay,Outdoor,95,7.15,1.09,0
Clay,Outdoor,-4,1.77,1.97,0
Clay,Outdoor,52,1.66,2.15,1
Clay,Outdoor,38,1.72,2.06,0
Clay,Outdoor,-30,1.7,2.09,0
Clay,Outdoor,19,2.86,1.4,1
Clay,Outdoor,-68,1.27,3.56,0
Clay,Outdoor,17,3.42,1.29,1
Clay,Outdoor,91,3.72,1.26,0
Clay,Outdoor,89,1.61,2.24,1
Clay,Outdoor,-91,1.79,1.99,1
Clay,Outdoor,-23,2.05,1.73,1
Clay,Outdoor,123,5.54,1.13,1
Clay,Outdoor,29,3.02,1.36,0
Clay,Outdoor,16,2,1.73,1
Clay,Outdoor,31,2.22,1.63,0
Clay,Outdoor,42,3.75,1.25,0
Clay,Outdoor,58,3.47,1.29,1
Clay,Outdoor,26,5.42,1.13,0
Clay,Outdoor,-45,1.27,3.57,1
Clay,Outdoor,25,2.09,1.7,0
Clay,Outdoor,71,3.72,1.25,0
Clay,Outdoor,27,2.09,1.7,1
Clay,Outdoor,-76,1.19,4.44,1
Clay,Outdoor,73,3.09,1.35,0
Clay,Outdoor,2,2.13,1.67,0
Clay,Outdoor,76,5.96,1.12,0
Clay,Outdoor,-6,1.76,1.99,1
Clay,Outdoor,149,6.14,1.11,1
Clay,Outdoor,52,8.27,1.06,0
Clay,Outdoor,6,1.57,2.34,1
Clay,Outdoor,69,3.61,1.27,0
Clay,Outdoor,49,2.89,1.39,0
Clay,Outdoor,-53,1.35,3.08,1
Clay,Outdoor,-9,1.39,2.9,1
Clay,Outdoor,126,7.77,1.07,0
Clay,Outdoor,-51,1.11,6.14,0
Clay,Outdoor,24,1.69,2.11,0
Clay,Outdoor,18,4.9,1.16,0
Clay,Outdoor,117,3.25,1.32,0
Clay,Outdoor,27,4.17,1.22,0
Clay,Outdoor,16,4.65,1.18,0
Clay,Outdoor,-35,1.39,2.91,1
Clay,Outdoor,51,5.27,1.15,0
Clay,Outdoor,-57,1.36,3.03,0
Clay,Outdoor,8,1.66,2.16,0
Clay,Outdoor,-59,1.18,4.58,1
Clay,Outdoor,-1,1.56,2.39,0
Clay,Outdoor,5,2.82,1.4,0
Clay,Outdoor,-8,2.08,1.69,0
Clay,Outdoor,27,2.69,1.43,0
Clay,Outdoor,-65,1.16,4.84,0
Clay,Outdoor,27,1.67,2.13,0
Clay,Outdoor,60,5.27,1.14,1
Clay,Outdoor,-27,1.31,3.3,1
Clay,Outdoor,-7,2.3,1.58,0
Clay,Outdoor,-13,1.51,2.48,0
Clay,Outdoor,-17,1.64,2.18,1
Clay,Outdoor,-13,2.79,1.41,1
Clay,Outdoor,28,2.09,1.7,0
Clay,Outdoor,24,2.55,1.49,0
Clay,Outdoor,84,4.25,1.2,0
Clay,Outdoor,36,3.04,1.35,0
Clay,Outdoor,-80,1.82,1.92,0
Clay,Outdoor,-19,1.45,2.64,0
Clay,Outdoor,1,2.73,1.43,0
Clay,Outdoor,-6,1.35,3.05,1
Clay,Outdoor,-63,2.13,1.68,0
Clay,Outdoor,-13,2.34,1.57,1
Clay,Outdoor,9,4.94,1.16,0
Clay,Outdoor,35,2.64,1.46,0
Clay,Outdoor,53,6.84,1.09,0
Clay,Outdoor,-15,1.6,2.27,0
Clay,Outdoor,44,6.37,1.1,0
Clay,Outdoor,-39,1.2,4.34,0
Clay,Outdoor,42,3.25,1.32,0
Clay,Outdoor,89,8.89,1.06,0
Clay,Outdoor,-116,1.7,2.08,0
Clay,Outdoor,10,2.22,1.63,1
Clay,Outdoor,-17,2.85,1.4,0
Clay,Outdoor,-12,1.79,1.95,0
Clay,Outdoor,-26,1.02,14.38,1
Clay,Outdoor,-115,1.16,4.83,1
Clay,Outdoor,-19,2.26,1.61,1
Clay,Outdoor,6,1.41,2.8,1
Clay,Outdoor,-27,1.32,3.24,1
Clay,Outdoor,24,3.12,1.35,1
Clay,Outdoor,-52,1.18,4.54,1
Clay,Outdoor,-26,1.15,5.05,1
Clay,Outdoor,33,3.81,1.25,0
Clay,Outdoor,-112,1.32,3.29,1
Clay,Outdoor,66,2.79,1.41,0
Clay,Outdoor,-20,1.51,2.5,0
Clay,Outdoor,-12,2.17,1.65,0
Clay,Outdoor,19,2.72,1.44,1
Clay,Outdoor,-36,1.01,18.83,1
Clay,Outdoor,7,2.43,1.53,1
Clay,Outdoor,7,1.41,2.8,1
Clay,Outdoor,-23,1.03,12.31,1
Clay,Outdoor,5,1.43,2.72,1
Clay,Outdoor,8,1.78,1.99,1
Clay,Outdoor,37,11.72,1.03,0
Clay,Outdoor,14,6.7,1.1,0
Clay,Outdoor,51,4.23,1.2,0
Clay,Outdoor,23,5.35,1.14,0
Clay,Outdoor,1,2.29,1.58,0
Clay,Outdoor,-497,1.12,5.66,1
Clay,Outdoor,68,3.73,1.26,0
Clay,Outdoor,-83,1.82,1.92,1
Clay,Outdoor,-27,4.75,1.17,0
Clay,Outdoor,-381,1.72,2.05,1
Clay,Outdoor,-33,1.79,1.95,1
Clay,Outdoor,16,1.98,1.76,0
Clay,Outdoor,255,1.22,4.05,1
Clay,Outdoor,-154,1.15,4.76,1
Clay,Outdoor,17,1.65,2.17,1
Clay,Outdoor,51,2.18,1.64,0
Clay,Outdoor,234,9.77,1.05,0
Clay,Outdoor,-25,1.54,2.41,1
Clay,Outdoor,-39,2.89,1.39,0
Clay,Outdoor,-108,1.33,3.21,1
Clay,Outdoor,267,3.87,1.24,1
Clay,Outdoor,-78,1.03,11.28,1
Clay,Outdoor,-65,2.36,1.56,1
Clay,Outdoor,16,3.37,1.3,0
Clay,Outdoor,-28,2.14,1.67,1
Clay,Outdoor,-317,1.04,10,0
Clay,Outdoor,2,1.28,3.53,0
Clay,Outdoor,-297,1.21,4.11,1
Clay,Outdoor,1,2.2,2.02,1
Clay,Outdoor,-21,2.22,1.62,1
Clay,Outdoor,16,3.42,1.29,1
Clay,Outdoor,-152,1.38,2.92,0
Clay,Outdoor,11,2.6,1.47,0
Clay,Outdoor,16,1.54,2.41,0
Clay,Outdoor,813,1.46,2.59,0
Clay,Outdoor,-92,1.5,2.51,1
Clay,Outdoor,-22,2.68,1.44,0
Clay,Outdoor,85,2.3,1.58,1
Clay,Outdoor,-44,1.34,3.16,1
Clay,Outdoor,49,3.05,1.35,0
Clay,Outdoor,-24,1.6,2.26,1
Clay,Outdoor,32,1.71,2.07,0
Clay,Outdoor,-13,1.6,2.28,0
Clay,Outdoor,68,2.28,1.59,0
Clay,Outdoor,-137,1.02,12.12,1
Clay,Outdoor,206,4.72,1.17,0
Clay,Outdoor,126,2.62,1.44,0
Clay,Outdoor,17,1.57,2.3,1
Clay,Outdoor,72,2.36,1.55,1
Clay,Outdoor,-23,1.5,2.52,1
Clay,Outdoor,82,13.06,1.02,0
Clay,Outdoor,19,1.78,1.97,1
Clay,Outdoor,-96,1.28,3.52,1
Clay,Outdoor,33,5.83,1.12,1
Clay,Outdoor,-93,1.46,2.64,0
Clay,Outdoor,99,3.03,3.3,0
Clay,Outdoor,-28,1.43,2.74,1
Clay,Outdoor,-20,2.31,1.58,1
Clay,Outdoor,4,1.81,1.92,1
Clay,Outdoor,8,1.8,1.93,1
Clay,Outdoor,-1041,1.03,11.98,1
Clay,Outdoor,353,7.17,1.08,0
Clay,Outdoor,-157,1.46,2.63,1
Clay,Outdoor,316,1.31,3.47,0
Clay,Outdoor,-26,2.79,1.41,0
Clay,Outdoor,97,1.79,1.96,0
Clay,Outdoor,-86,1.59,2.28,1
Clay,Outdoor,-33,1.23,3.92,1
Clay,Outdoor,72,2.73,1.42,1
Clay,Outdoor,111,6.09,1.11,0
Clay,Outdoor,-49,1.19,4.45,1
Clay,Outdoor,51,1.95,1.79,0
Clay,Outdoor,50,1.58,2.31,1
Clay,Outdoor,-61,1.45,2.65,1
Clay,Outdoor,82,6.59,1.1,0
Clay,Outdoor,70,4.68,1.17,0
Clay,Outdoor,109,7.12,1.08,0
Clay,Outdoor,37,2.91,1.38,0
Clay,Outdoor,-52,1.13,5.39,1
Clay,Outdoor,51,4.69,1.17,0
Clay,Outdoor,81,4.94,1.16,0
Clay,Outdoor,29,4.61,1.18,1
Clay,Outdoor,3,3.88,1.24,1
Clay,Outdoor,-25,1.78,1.97,1
Clay,Outdoor,30,3.09,1.35,0
Clay,Outdoor,20,2.73,1.43,0
Clay,Outdoor,-4,1.88,2.04,0
Clay,Outdoor,37,2.29,1.59,0
Clay,Outdoor,-33,1.21,4.2,1
Clay,Outdoor,-32,1.11,6.18,1
Clay,Outdoor,-67,1.48,2.56,1
Clay,Outdoor,-7,1.61,2.25,0
Clay,Outdoor,-46,1.28,3.49,1
Clay,Outdoor,-24,2.25,1.61,0
Clay,Outdoor,30,2.37,1.56,1
Clay,Outdoor,21,2.71,1.44,0
Clay,Outdoor,5,3.06,1.35,0
Clay,Outdoor,-468,2.21,1.63,1
Clay,Outdoor,-4,1.6,2.27,1
Clay,Outdoor,-1,2.26,1.61,0
Clay,Outdoor,-36,1.38,2.94,1
Clay,Outdoor,-7,1.78,1.96,1
Clay,Outdoor,67,3.44,1.29,0
Clay,Outdoor,-1,2.53,1.49,0
Clay,Outdoor,-38,1.19,4.47,1
Clay,Outdoor,-57,1.47,2.6,1
Clay,Outdoor,64,4.05,1.22,0
Clay,Outdoor,-293,1.17,4.78,0
Clay,Outdoor,59,5.82,1.12,0
Clay,Outdoor,121,3.65,1.27,0
Clay,Outdoor,-13,2.25,1.59,0
Clay,Outdoor,45,9.15,1.05,0
Clay,Outdoor,27,4.87,1.16,0
Clay,Outdoor,41,3.29,1.31,0
Clay,Outdoor,-277,1.25,3.73,1
Clay,Outdoor,1,1.83,1.9,1
Clay,Outdoor,21,1.59,2.29,1
Clay,Outdoor,40,1.77,1.98,0
Clay,Outdoor,-71,1.1,6.17,1
Clay,Outdoor,-24,1.41,2.78,1
Clay,Outdoor,38,3.87,1.24,0
Clay,Outdoor,-59,1.01,14.89,1
Clay,Outdoor,-68,1.36,3.05,1
Clay,Outdoor,-28,1.5,2.51,0
Clay,Outdoor,-47,1.19,4.43,1
Clay,Outdoor,16,4.52,1.18,0
Clay,Outdoor,-29,1.62,2.25,0
Clay,Outdoor,-21,1.17,4.85,0
Clay,Outdoor,-8,2.49,1.52,0
Clay,Outdoor,-16,1.03,12.28,1
Clay,Outdoor,21,1.99,1.77,0
Clay,Outdoor,-34,1.22,4.07,1
Clay,Outdoor,1,1.5,2.54,1
Clay,Outdoor,-2,3.74,1.26,0
Clay,Outdoor,22,3.04,1.36,0
Clay,Outdoor,-5,3.19,1.33,0
Clay,Outdoor,-15,1.03,11.31,1
Clay,Outdoor,33,3.29,1.32,0
Clay,Outdoor,-8,2.27,1.6,0
Clay,Outdoor,32,9.5,1.05,0
