Surface,Court,ranking_diff,AvgW,AvgL,win
Clay,Outdoor,15,2.48,1.51,1
Clay,Outdoor,-84,1.13,5.39,1
Clay,Outdoor,-5,1.76,1.98,1
Clay,Outdoor,-55,1.68,2.11,0
Clay,Outdoor,-569,1.05,8.85,1
Clay,Outdoor,-42,1.55,2.38,0
Clay,Outdoor,32,1.73,2.03,1
Clay,Outdoor,-733,1.03,12.24,1
Clay,Outdoor,-194,1.21,4.16,1
Clay,Outdoor,19,1.86,1.87,1
Clay,Outdoor,-92,2.69,1.42,0
Clay,Outdoor,-15,1.32,3.23,0
Clay,Outdoor,70,1.32,3.21,1
Clay,Outdoor,-50,1.37,2.97,1
Clay,Outdoor,-110,1.08,7.28,1
Clay,Outdoor,309,3.64,1.27,0
Clay,Outdoor,144,2.55,1.48,1
Clay,Outdoor,56,2.73,1.42,0
Clay,Outdoor,4,2.9,1.38,0
Clay,Outdoor,-229,1.24,3.85,1
Clay,Outdoor,-2,2.61,1.47,0
Clay,Outdoor,10,5.3,1.14,0
Clay,Outdoor,33,2.67,1.45,0
Clay,Outdoor,71,5.11,1.15,1
Clay,Outdoor,-125,1.99,1.76,1
Clay,Outdoor,45,2.9,1.38,1
Clay,Outdoor,-27,1.26,3.7,1
Clay,Outdoor,97,1.64,2.18,1
Clay,Outdoor,38,1.29,3.44,1
Clay,Outdoor,-17,2.23,1.62,1
Clay,Outdoor,77,1.47,2.6,0
Clay,Outdoor,108,5.17,1.15,0
Clay,Outdoor,-380,1.14,5.42,1
Clay,Outdoor,32,2.3,1.58,0
Clay,Outdoor,20,1.69,2.09,0
Clay,Outdoor,95,2.77,1.42,1
Clay,Outdoor,49,2.97,1.37,0
Clay,Outdoor,17,1.83,1.9,0
Clay,Outdoor,-275,1.13,5.9,1
Clay,Outdoor,-27,1.43,2.71,1
Clay,Outdoor,3,2.7,1.43,0
Clay,Outdoor,-5,2.22,1.62,1
Clay,Outdoor,334,4.18,1.21,0
Clay,Outdoor,6,1.7,2.09,0
Clay,Outdoor,-49,1.08,7.13,1
Clay,Outdoor,12,2.87,1.39,1
Clay,Outdoor,-11,1.38,2.93,0
Clay,Outdoor,35,4.92,1.16,0
Clay,Outdoor,36,5.31,1.14,1
Clay,Outdoor,129,9.51,1.04,1
Clay,Outdoor,-92,1.17,4.7,1
Clay,Outdoor,-12,2.68,1.44,0
Clay,Outdoor,-30,1.8,1.93,1
Clay,Outdoor,-6,1.61,2.26,1
Clay,Outdoor,17,1.84,1.89,1
Clay,Outdoor,-17,3.02,1.36,0
Clay,Outdoor,100,2.42,1.53,1
